strategy,strategy_label,date,asset,asset_label,old_weight,new_weight,delta_weight,portfolio_value_before,trade_notional,side
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-11-06,long_bond,Obligacje 30+/TLT,0.20473433,0.02250000,-0.18223433,35783.22999651,-6520.93285002,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-11-06,floating_bond,Obligacje/gotowka,0.06824478,0.00750000,-0.06074478,35783.22999651,-2173.64428334,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-09-03,us_equity,SPX,1.21500000,0.90000000,-0.31500000,48192.20616835,-15180.54494303,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-09-03,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,48192.20616835,-15180.54494303,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-09-03,long_bond,Obligacje 30+/TLT,0.02250000,0.07500000,0.05250000,48192.20616835,2530.09082384,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-09-03,floating_bond,Obligacje/gotowka,0.00750000,0.02500000,0.01750000,48192.20616835,843.36360795,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-11-05,us_equity,SPX,0.90000000,1.21500000,0.31500000,49639.77698668,15636.52975080,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-11-05,tech_equity,NDX,0.00000000,0.31500000,0.31500000,49639.77698668,15636.52975080,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-11-05,long_bond,Obligacje 30+/TLT,0.07500000,0.02250000,-0.05250000,49639.77698668,-2606.08829180,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1999-11-05,floating_bond,Obligacje/gotowka,0.02500000,0.00750000,-0.01750000,49639.77698668,-868.69609727,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-03,us_equity,SPX,1.21500000,0.90000000,-0.31500000,54109.28637983,-17044.42520965,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-03,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,54109.28637983,-17044.42520965,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-03,long_bond,Obligacje 30+/TLT,0.02250000,0.07500000,0.05250000,54109.28637983,2840.73753494,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-03,floating_bond,Obligacje/gotowka,0.00750000,0.02500000,0.01750000,54109.28637983,946.91251165,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-31,us_equity,SPX,0.90000000,1.21500000,0.31500000,63955.70254136,20146.04630053,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-31,tech_equity,NDX,0.00000000,0.31500000,0.31500000,63955.70254136,20146.04630053,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-31,long_bond,Obligacje 30+/TLT,0.07500000,0.02250000,-0.05250000,63955.70254136,-3357.67438342,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-03-31,floating_bond,Obligacje/gotowka,0.02500000,0.00750000,-0.01750000,63955.70254136,-1119.22479447,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-04-07,us_equity,SPX,1.21500000,0.71443416,-0.50056584,62809.35934233,-31440.21969213,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-04-07,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,62809.35934233,-19784.94819283,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-04-07,long_bond,Obligacje 30+/TLT,0.02250000,0.21417438,0.19167438,62809.35934233,12038.94498995,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-04-07,floating_bond,Obligacje/gotowka,0.00750000,0.07139146,0.06389146,62809.35934233,4012.98166332,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-06-02,us_equity,SPX,0.71443416,0.73203683,0.01760267,57963.47130504,1020.31185792,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-06-02,long_bond,Obligacje 30+/TLT,0.21417438,0.06699079,-0.14718359,57963.47130504,-8531.27163833,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-06-02,floating_bond,Obligacje/gotowka,0.07139146,0.20097238,0.12958092,57963.47130504,7510.95978041,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-09-01,us_equity,SPX,0.73203683,0.90000000,0.16796317,62951.52631780,10573.53788917,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-09-01,long_bond,Obligacje 30+/TLT,0.06699079,0.05000000,-0.01699079,62951.52631780,-1069.59631435,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-09-01,floating_bond,Obligacje/gotowka,0.20097238,0.05000000,-0.15097238,62951.52631780,-9503.94157482,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-10-27,us_equity,SPX,0.90000000,0.73203683,-0.16796317,58821.58737822,-9879.86025477,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-10-27,long_bond,Obligacje 30+/TLT,0.05000000,0.20097238,0.15097238,58821.58737822,8880.43487554,BUY
