date,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,gross_strategy,gross_strategy_medium_aggressive,gross_strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40,turnover,turnover_medium_aggressive,turnover_aggressive,medium_aggressive_leverage,aggressive_leverage,medium_aggressive_financing_cost,aggressive_financing_cost
1975-04-18,-0.0016331779206569539,-0.0016331779206569539,-0.0016331779206569539,-0.0016331779206569539,-0.0016331779206569539,-0.0016331779206569539,-0.0016331779206569539,0.0037002995006765182,0.00257639344669508,0.0014524873927136408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-04-25,0.0038014199537162304,0.00380141995371623,0.0038014199537162304,0.0038014199537162304,0.0038014199537162304,0.0038014199537162304,0.0038014199537162304,0.0037002995006765182,0.0035583165236181265,0.0034163335465597342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-05-02,0.016424890871358552,0.016424890871358552,0.016424890871358552,0.016424890871358552,0.016424890871358552,0.016424890871358552,0.016424890871358552,0.013081154478496115,0.012742231275104604,0.012403308071713089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-05-09,0.007870690237051418,0.007870690237051418,0.007870690237051418,0.007870690237051418,0.007870690237051418,0.007870690237051418,0.007870690237051418,0.013081154478496115,0.011196846659719963,0.009312538840943808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-05-16,0.01097071390016538,0.01097071390016538,0.01097071390016538,0.01097071390016538,0.01097071390016538,0.01097071390016538,0.01097071390016538,0.013081154478496115,0.011755692813566114,0.01043023114863611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-05-23,0.004758546180668244,0.004758546180668243,0.004758546180668244,0.004758546180668244,0.004758546180668244,0.004758546180668244,0.004758546180668244,0.013081154478496115,0.010633000505873832,0.008184846533251546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-05-30,0.0039837733493756754,0.0039837733493756754,0.0039837733493756754,0.0039837733493756754,0.0039837733493756754,0.0039837733493756754,0.0039837733493756754,0.013081154478496115,0.010493385121258443,0.00790561576402077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-06-06,0.01506987311484906,0.015069873114849058,0.01506987311484906,0.01506987311484906,0.01585555701230353,0.01585555701230353,0.01585555701230353,0.007162324719159896,0.008279090544558672,0.00939585636995745,0.3928419487272343,0.3928419487272343,0.3928419487272343,0.0,0.0,0.0,0.0
1975-06-13,0.015126238913280129,0.015126238913280129,0.015126238913280129,0.015126238913280129,0.015126238913280129,0.015126238913280129,0.015126238913280129,0.007162324719159896,0.008692936698404818,0.01022354867764974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-06-20,-0.008646092817488954,-0.008646092817488954,-0.008646092817488954,-0.008646092817488954,-0.008646092817488954,-0.008646092817488954,-0.008646092817488954,0.007162324719159896,0.0025256290060971637,-0.0021110667069655685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-06-27,0.004330133144049427,0.004330133144049427,0.004330133144049427,0.004330133144049427,0.004330133144049427,0.004330133144049427,0.004330133144049427,0.007162324719159896,0.005895244390712528,0.004628164062265161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-07-04,-0.00412642628564489,-0.00412642628564489,-0.00412642628564489,-0.00412642628564489,-0.00412642628564489,-0.00412642628564489,-0.00412642628564489,0.0010782512000802047,-0.00023162980916660667,-0.0015415108184134183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-07-11,0.0045319631374320535,0.0045319631374320535,0.0045319631374320535,0.0045319631374320535,0.0045319631374320535,0.0045319631374320535,0.0045319631374320535,0.0010782512000802047,0.002012216344679553,0.0029461814892789012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-07-18,-0.0024919310933372275,-0.0024919310933372275,-0.0024919310933372275,-0.0024919310933372275,-0.0024919310933372275,-0.0024919310933372275,-0.0024919310933372275,0.0010782512000802047,0.00018990865237184743,-0.00069843389533651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-07-25,-0.001947387824106368,-0.0019473878241063679,-0.001947387824106368,-0.001947387824106368,-0.001947387824106368,-0.001947387824106368,-0.001947387824106368,0.0010782512000802047,0.0003326009600641786,-0.0004130492799518477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-08-01,-0.015865820773149297,-0.015865820773149297,-0.015865820773149297,-0.015865820773149297,-0.015415820773149297,-0.015415820773149297,-0.015415820773149297,-0.014401371937022733,-0.013168789857310494,-0.01193620777759825,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.0,0.0,0.0,0.0
1975-08-08,-0.012931734234687811,-0.012931734234687811,-0.012931734234687811,-0.012931734234687811,-0.012931734234687811,-0.012931734234687811,-0.012931734234687811,-0.014401371937022733,-0.013163405241925897,-0.011925438546829058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-08-15,-0.010765676542380058,-0.010765676542380056,-0.010765676542380058,-0.010765676542380058,-0.010765676542380058,-0.010765676542380058,-0.010765676542380058,-0.014401371937022733,-0.012318020626541257,-0.010234669316059779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-08-22,-0.007162215003918566,-0.007162215003918566,-0.007162215003918566,-0.007162215003918566,-0.007162215003918566,-0.007162215003918566,-0.007162215003918566,-0.014401371937022733,-0.010914943703464353,-0.007428515469905969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-08-29,0.0007569196114660743,0.0007569196114660742,0.0007569196114660743,0.0007569196114660743,0.0007569196114660743,0.0007569196114660743,0.0007569196114660743,-0.014401371937022733,-0.007835712934233572,-0.0012700539314444096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-09-05,-0.005323073989083138,-0.005323073989083138,-0.005323073989083138,-0.005323073989083138,-0.005323073989083138,-0.005323073989083138,-0.005323073989083138,-0.0021385541529460594,-0.003214689476202976,-0.004290824799459892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-09-12,-0.008553122066006308,-0.008553122066006308,-0.008553122066006308,-0.008553122066006308,-0.008553122066006308,-0.008553122066006308,-0.008553122066006308,-0.0021385541529460594,-0.004469689476203013,-0.006800824799459965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-09-19,0.004776397164762954,0.004776397164762954,0.004776397164762954,0.004776397164762954,0.004776397164762954,0.004776397164762954,0.004776397164762954,-0.0021385541529460594,0.0007187720622585387,0.0035760982774631373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
